query_id,TF-IDF only,BM25 only,Hybrid lexical (TF-IDF+BM25),Embeddings (E5),+ L1 hybrid signals,+ Cross-Encoder,+ RAG-Fusion + MMR (Full)
Q001,0.2025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q002,0.2201,0.1389,0.1389,0.0000,0.0000,0.0000,0.0000
Q003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q004,0.1389,0.2201,0.2201,0.0000,0.0000,0.0000,0.1100
Q005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q006,0.0636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q007,0.1389,0.0000,0.0000,0.0636,0.0636,0.0636,0.0000
Q008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q009,0.0996,0.0000,0.1642,0.0000,0.0000,0.0000,0.0000
Q010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q012,0.0734,0.1428,0.1894,0.1447,0.1447,0.1447,0.0000
Q013,0.7917,0.7850,0.7850,0.0000,0.0000,0.0000,0.0000
Q014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0694
Q015,0.3590,0.1428,0.2489,0.0663,0.0663,0.0663,0.0000
Q016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q018,0.5843,0.3783,0.6056,0.0915,0.1015,0.1015,0.3621
Q019,0.0000,0.1682,0.0000,0.0000,0.0000,0.0000,0.0000
Q020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q021,0.5424,0.1447,0.2979,0.0000,0.0000,0.0000,0.4009
Q022,0.0694,0.0000,0.0000,0.0463,0.0463,0.0463,0.2201
Q023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q024,0.3543,0.2292,0.3487,0.2413,0.2413,0.2413,0.2201
Q025,0.2309,0.0000,0.1151,0.0000,0.0000,0.0000,0.0000
Q026,0.0784,0.0000,0.0000,0.1584,0.0948,0.0948,0.0000
Q027,0.1795,0.0000,0.1420,0.0000,0.0000,0.0000,0.0734
Q028,0.1763,0.1005,0.1767,0.0000,0.0000,0.0000,0.0734
Q029,0.0000,0.0284,0.0000,0.0000,0.0000,0.0000,0.0284
Q030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q031,0.0000,0.0995,0.0939,0.0000,0.0000,0.0000,0.0000
Q032,0.0851,0.0784,0.1100,0.0000,0.0000,0.0000,0.0000
Q033,0.0000,0.2201,0.0851,0.0000,0.0000,0.0000,0.0000
Q034,0.0000,0.2489,0.1546,0.0000,0.0000,0.0000,0.0734
Q035,0.0000,0.0000,0.0000,0.1389,0.1389,0.1389,0.0851
Q036,0.1389,0.2201,0.2201,0.2201,0.2201,0.2201,0.2201
Q037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Q039,0.0000,0.0000,0.0000,0.0316,0.0316,0.0316,0.2201
Q040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
